Restaurant	Price	Food	Service	Review
Les Terrasses de Lyon - Lyon	Positive	Positive	Positive	bonne qualité des plats, service impeccable. J'ai beaucoup aimé .Bien situé à côté d'un parc surplombant la ville
La Belle Idée - Grenoble	Positive	Positive	Positive	Cela fait plusieurs années que je vais manger dans ce restaurant que ce soit en couple, en famille ou entre amis, je n'ai jamais été déçue. Des prix doux, des plats traditionnels mais très bons font que ce restaurant est une valeur sûre pour moi. De plus, l'accueil est toujours très bon.
La Ferme à Dédé - Grenoble	Positive	Positive	No Opinion	Très bonne cuisine régionale avec un bon rapport qualité prix.  Nous avons pris la formule de jour avec un dessert. Je vous conseil le parfait à la Chartreuse qui est vraiment délicieux
La Ferme à Dédé - Grenoble	No Opinion	Positive	Positive	Un super déjeuner dans un super cadre et les serveurs gentils. Une très bonne cuisine gourmande et excellente
Le Marrakech - Annecy	Positive	Positive	Positive	Toujours un très bon accueil au restaurant ou dans la boutique à emporter! Bon couscous et surtout assez bonne quantité à un prix très correct!
Le Gratin Dauphinois - Grenoble	Positive	Positive	Positive	Une bonne soirée avec un menu bon à un prix abordable. Des bons produits et un service agréable également. Une salade avec des ravioles croustillants en entree et le poulet aux ecrevisses en plat. je recommande!
Brasserie Chavant Grenoble	No Opinion	Positive	Positive	Un cadre sympathique et une carte bien attirante ! On a longuement hésité dans nos choix mais les conseils des serveurs nous ont été précieux. Leur disponibilité est un plus.  De bonnes saveurs du début à la fin !
Le Gratin Dauphinois - Grenoble	No Opinion	Positive	Mixed	Super restaurant, très bon service. Les plats sont délicieux, nous avons passé un très bon moment. Une adresse à retenir!
Les Terrasses Poulard - Le Mont-Saint-Michel	Positive	No Opinion	No Opinion	ce restaurant est convenable et reste dans la moyenne des prix du coin mais çà reste un piège à touriste. La visite du mont est toujours aussi agréable . La vue de ce restaurant est assez sympatique. il faudrai chasser les moineaux dans le restarant cela agasse un peu les clients.
Une Semaine sur Deux - Grenoble	No Opinion	Positive	Positive	Cela fait déjà trois fois que nous y allons et nous y retournerons avec un grand plaisir. Cadre très sympathique,, chef super sympa qui nous explique avec plaisir ce qu'il cuisine et que nous dégustons nous aussi avec plaisir. Allez-y les yeux fermés mais attention il faut réserver.
Les Terrasses de Lyon - Lyon	Positive	Positive	Positive	Déjeuner juste parfait.Le service était très bien sans chichi mais professionnel et attentif.Les plats succulents avec de très belles saveurs.La vue est magnifique.Nous apprécions également le fait que les tables soit grandes et espacées les unes des autres.Nous avons trouvé le rapport qualité prix tout à fait correct.Nous reviendrons avec plaisir.
Le Bombay	No Opinion	Positive	Positive	Très bon accueil. Le repas très copieux et délicieux. On nous a offert le digestif en fin de repas.  Respect des consignes sanitaire.
Le Gratin Dauphinois - Grenoble	Positive	Positive	Positive	Ce restaurant est tout simplement génial! Il propose des plats du marché ( viande et poisson), des Burgers ( a ce roulé parterre), des salades ( on en voit jamais la fin), des pièces de viande ( divines), des gratins de ravioles ( a toutes les sauces) et bien sûr un VRAI GRATIN DAUPHINOIS.  En plus de tout ça le service est rapide et les prix plutôt bas.  Je conseille vraiment ce restaurant, je dirais même plus je le préconise.
Brasserie Chavant Grenoble	No Opinion	Positive	No Opinion	Emplacement pratique, belle terrasse, cadre agréable, et bien sûr plats « travaillés » et tout simplement très bon! Je ne comprends pas certains commentaires car les plats à la carte sont savoureux, avec notamment une sélection réalisée auprès de producteurs locaux, tout comme des plats du jour originaux et au rapport qualité / prix vraiment intéressant ! Je recommande bien évidemment, entre amis, pour un déjeuner d’affaires, ou tout simplement pour passer un bon moment !
Les Terrasses Poulard - Le Mont-Saint-Michel	No Opinion	Negative	Negative	Accueil deplorable attente interminable portions congrues et de piètre qualité  A éviter a tout prix !
Les 3 Brasseurs - Echirolles	No Opinion	Positive	Positive	Ce restaurant est un lieu ou j aime me rendre pour deux choses. La bière et le burger contry. J y vais minimum 2 fois par mois et je ne suis jamais déçu.  Les serveurs sont très sympas et prennent le temps de s occuper de la clientèle pourtant ce n est pas le travail qui manque. Ils courent de partout car le restaurant est tout le temps blindé. Franchement ce restaurant connait un sacré succès et c est mérité.
Le Chalet Restaurant - Annecy	No Opinion	Positive	Positive	Le serveur nous a bien conseillé On a passé super moment avec une viande très fondante et de très bon dessert.  On reviendra !!
Le Gurtlerhoft - Strasbourg	No Opinion	No Opinion	Positive	Un voyage entre collègues pour lequel je souhaitais faire découvrir la gastronomie de ma région natale. Une bonne adresse avec une diversité de plats locaux. Service bon, rapide et professionnel malgré une arrivée tardive au restaurant.
"""""""Chateau de la commanderie - Grenoble"""""""	Positive	Mixed	Mixed	"""""""C'est un trés bel endroit pour un bon repas mais l'accueil à la reception est moyen. Puis certes au premier abord le maître d'hôtel peut vous déconcerter par son style (moi j'ai aimé) et celui-ci trés professionnel vous conseille avec sa fougue toute particulière les vins et les plats.Ne changez pas monsieur ! Les plats servis sont de bonne qualité , une certaine créativité emane de ce chef. Une carte des vins trés correcte pour accompagner votre repas et passer un agréable moment. Quelques plats ont été revisités (tête de veau , gratin, etc.) et mériteraient d'être un peu plus retravaillés, le foie gras fumé (excellente idée) un peu trop acide à mon goût, mais ce qu'il en ressort est tout de même trés correct. Un bel endroit pour s'initier à la cuisine gastronomique d'un rapport qualité/ prix trés correct. Avec quelques améliorations aussi bien culinaires que du service (moyen), ce restaurant pourrait obtenir une distinction dans nos fameux guides .J'y retournerai surement ."""""""
Bistrot André - Grenoble	No Opinion	Positive	Positive	Nous nous sommes régalé. Les plats étaient beau et bon. La jeune sommelière nous a  très bien recommandé sur le vin que nous avons pris au verre. Elle a pris le temps de nous parler un peu le la maison PIC. Elle est très sympathique et pétillante.
La Fondue - Grenoble	No Opinion	Positive	Positive	nous sommes venues en familles de trois personnes un samedi soir, et tour s'est très bien passée. La fondue avec des lardons etait excellente et les enfants etaient content. Merci au chef pour la petite assiette en plus 😋 Merci à Sandy pour le service qui a ete accompagné de sourire et de blagues en tous genres, cela faisait longtemps qu'une serveuse ne s'etait pas donnee cette peine. Quant a moi, ma tartiflette était généreuse et la salade était de trop 😆🤣 Mon pauvre régime >< Merci à l'equipe pour ce moment
La veyrie - Bernin	No Opinion	No Opinion	Negative	"""Le 16 octobre, nous faisons une réservation pour un repas anniversaire de 18 personnes en date du 26 novembre. L'établissement répond par mail et confirme la réservation.  Le 26 nous arrivons et sommes conduit dans une salle où une table de 16 est dressée. Nous signalons la chose pour faire ajouter 2 couverts. Peu après arrive un groupe de 16 personnes et on nous dit que la salle est pour eux et que leur réservation est antérieure à la notre.  Mais aucune autre place n'a été prévue pour nous !! Notre hôte essaie de faire de la place en déplaçant les clients déjà installés ! Mais ce qui est envisagé ne correspond en rien à nos attentes, tables étroites en zone peu agréable. Quant on commence à signifier notre mécontentement, on nous dit que nous n'avons pas de réservation ! Le responsable ose même dire """"si vous n'êtes pas content, vous n'avez qu'à aller voir ailleurs"""". Pourtant nous montrons le mail du restaurant. Bref nous voilà devoir improviser un repas à la maison un dimanche pour 18  à la dernière minute.. Pâtes et saucissons pour un anniversaire...  De quoi s'inquiéter sur la gestion du restaurant quand une réservation pour 18 faite bien à l'avance est oubliée !"""
Chalet la Pricaz - Montmin	No Opinion	Positive	Positive	Nous avons adoré !!!! Le cadre est magnifique, tout était délicieux, une équipe au service et en cuisine jeune et dynamique très agréable... nous recommandons cet établissement...
Le Bombay	No Opinion	Positive	Positive	Très bon restaurant indien, l’accueil et le service au top ! La cuisine est de qualité et généreuse !!  Côté addition 41€ pour un apéritif, un entrée, un plat et une bière. Pensez à réserver, un mardi soir c’était plein.
Les 3 Brasseurs - Echirolles	Negative	Negative	Positive	Les plats sont servis en trop faible quantité, très cher pour ce que c est.  L ambiance est très bruyante mais l accueil sympathique
Brasserie Georges - Lyon	Negative	Negative	Negative	J'ai voulu faire découvrir cette adresse mythique à la famille à l'occasion de leur visite Lyonnaise. Le service est inexistant : prise de commande, livraison et ramassage !!! La gratinée d'oignons est insipide, salade César quelleconque ! Un plat chaud servi tiède, une cuisson de viande non conforme à la demande. Difficile de trouver un seul point positif au cours de ce déjeuner. La fréquentation de ce lieu est telle que quelques clients insatisfaits ne changeront pas grande chose probablement pour la réputation de ce lieu. Quant à moi, il est certain que c'était la DER. Dommage pour un lieu soi disant mythique.  J'allais oublier seule l'addition était à la hauteur !
La Ferme à Dédé - Grenoble	No Opinion	Positive	Positive	Service rapide pour un déjeuner entre midi et deux. J'ai pris le burger végétarien, délicieux ! Et les desserts en pot maison sont très bons. Juste à côté de la gare
Brasserie Chavant Grenoble	No Opinion	Positive	Positive	Deco très zen, très bonne cuisine et surtout un service aux petits soins. Un moment très agréable. Merci
Bistrot André - Grenoble	No Opinion	Positive	Mixed	Tout a été excellent. C'est à l'occasion de l'anniversaire de mon épouse. Les mets étaient très fin, un vrai régal. Le gâteau d'anniversaire très généreux. Seul petit hic, il a fallu que nous demandions qu'on nous apporte de l'eau assez souvent. Sinon le service a été bien.  J'espère que les enfants n'ont pas trop dérangé les autres clients. Nous reviendrons.
Le Marrakech - Annecy	No Opinion	Positive	Positive	Très bon compte toujours. Patron très sympa, nourriture excellente (un excellent couscous). Pastilla au lait bonne.
"""""""Chateau de la commanderie - Grenoble"""""""	No Opinion	Mixed	Negative	"""""""La cuisine était très bonne. De belles cuissons. Les assaisonnements juste bien Peux être que plats était pas assez chaud!! Un gros point négatif sur l acceuil. Arrivé en bas à la réception. On nous a dit de monter de monter et d ouvrir la porte en haut. Personne nous a accompagné. Arrivé dans la salle,les serveurs nous passe à côté sans nous regarder . On a attendu sans savoir où se mettre. Et après j ai trouvé que c etait un peu a l arrache !! Ah oui aussi... Dommage que les marteaux piqueur attaque à 13h30. C est tres désagréable. L endroit est magnifique. Je pense que cette été ce sera juste top"""""""
Les Jardins de Sainte-Cécile - Grenoble	No Opinion	Positive	Positive	Pour un diner en amoureux c'était parfait. Très bonne cuisine, service très sympathique et le cadre est très chouette lorsqu'il fait beau.
Le Gurtlerhoft - Strasbourg	No Opinion	No Opinion	Positive	J'ai goûté le menu alsacien avec la tarte, la choucroute et le dessert. Tout très bon, service super !
Le Bombay	No Opinion	Positive	No Opinion	Nous aimons la cuisine d'ailleurs, ce fut une bonne surprise les plats sont goûteux et born préparés. Nous sommes pas déçus d'avoir choisi ce lieu que je pourrais recommander sans hésitation.
Brasserie Chavant Grenoble	Negative	Positive	Mixed	Le cadre est super sympa, le personnel moyennement et la nourriture est correcte mais on s'attend à mieux par rapport au prix et au cadre !
Les Jardins de Sainte-Cécile - Grenoble	Negative	Negative	Negative	Une grande déception suite à un repas en famille pour le midi : les plats n'étaient pas assez chauds (les sauces notamment en accompagnement), et la viande (filet mignon) et le poisson (omble chevalier) pas assez cuits. Au rapport des prix pratiqués, c'est vraiment très décevant et dommage. Aucun geste commercial ne nous a été accordé, ce qui aurait permis de rattraper ces erreurs de cuisine. Nous ne reviendrons pas, ça c'est sûr.
L'Entrecôte	No Opinion	Negative	Negative	Formule super bonne viande et frites mais trop peu de viande et trop de frites et le service vraiment pas terrible.Assiette de fromage pas assez copieuse profiteroles trop copieux!
Shunbun - Grenoble	Positive	Positive	No Opinion	Très bonne adresse où je vais régulièrement. Menu à environ 12 euros parfait pour un repas en Semaine. Sushis bons et frais. Ras.
La Belle Idée - Grenoble	Positive	Positive	No Opinion	Petit restaurant avec des plats simples et copieux. La cuisine est de qualité et le rapport qualité-prix est bon.
Les 3 Brasseurs - Echirolles	Positive	Positive	Positive	Apres un bon cockail au bowling d a cote une vraie taverne ou ils brassent leur bieres decor et accueil professionnel,bonnes bieres,nourriture correcte pour ce type d etablissement ,bon tapport qualite prix
La Ferme à Dédé - Grenoble	Mixed	Negative	Positive	Si le décor est agréable, la qualité de la cuisine est très décevante . Nous avons commandé une raclette pour 6 personnes (22€ par personne) le fromage insipide, la charcuterie très bas de gamme (coriace et sans goût rapport qualité prix zéro. À noter que le personnel était très agréable.
Le Gratin Dauphinois - Grenoble	No Opinion	Positive	Positive	Excellente accueille ! De bon conseil, à l’écoute des clients , une cuisine généreuse et pleine de saveur ! Au top! Nous étions ravie et avons passés un agréable moment chez vous !nous reviendrons
Bistrot André - Grenoble	No Opinion	No Opinion	Positive	Tout était excellent ! Service impeccable, rapide et attentif à notre petite de 3 ans. La terrasse est agréable alors qu'il faisait 36 degrés ce jour-là à Valence.
Le Bombay	Positive#NE	Positive	Positive	Magnifique a tout les niveaux . Un de mes restaurants préféré !! La nourriture est délicieusement bonne et le cadre sublime . J’aime beaucoup la déco et le personnel est adorable . Nous sommes arrivés presque à l’heure de la fermeture et ils nous acceptés sans broncher en nous laissant le temps . Juste superbe :)
Les 3 Brasseurs - Echirolles	No Opinion	Positive	Negative	Restaurant nettement mieux qu auparavant , très bon , convivial , seul point Négative :un peu rapide dans la prise de commande
Le Gratin Dauphinois - Grenoble	No Opinion	Positive	No Opinion	Belle carte avec beaucoup de spécialités régionales, bons produits et bien sûr, gratin dauphinois excellent.
Chalet la Pricaz - Montmin	No Opinion	Positive	Positive	Cadre exceptionnel.Plat très bon et copieux.l'accueil est très agréable.Les serveurs aux petits soins, demande à plusieurs reprises si tout va bien, propose des plaids si nous avons froid, vraiment très agréable.je recommande vivement.nous reviendrons et recommanderons
Le Chalet Restaurant - Annecy	No Opinion	Mixed	No Opinion	Endroit très sympa. Le personnel accueillant. Le vin Tariquay était bon. Et le fromage excellent  Petit bémol quand à la présentation de l'assiette de charcuterie avec la raclette. La charcuterie était mis en vrac, mélangée et pas de plat pour les epluchured
Le Marrakech - Annecy	Negative	Positive	Positive	Les couscous étaient très bons, les viandes étaient fondantes, les thés à la menthe succulents et le service agréable et rapide. Nonobstant, affichages extérieurs mensonge ! Les prix affichés ne tiennent pas compte de l'augmentation effectué par l établissement. Pour un repas de 4 personnes un surplus de 20 € constaté entre les prix extérieurs et l'addition. Et, une petite déception car nous attendions une danseuse orientale comme indiqué sur la vitrine le jeudi soir, alors que celle-ci ne vient plus depuis le covid.
Une Semaine sur Deux - Grenoble	No Opinion	Positive	Positive	Un vrai délice avec un accueil chaleureux.Les plats sont copieux, nous n’avons pas testé les desserts mais nous reviendrons 😀.L’entrée œuf poché / soupe de pois avec sa tuile parmesan …… je recommande
L'Entrecôte	Negative	Negative	Negative	"""Aucun choix le soirs à part une formule à 20€ comportant une salade de noix (10 feuilles avec 3 noix), un Faux-Filet d'à peine 180g, la sauce avec est franchement pas ouf, les frites sont à volonté mais rien d'exceptionnel aussi (malgré qu'elle soit maison), et alors la serveuse du Vendredi 26 Novembre à l'étage, une catastrophe ça façon de parler, l'air blasé, quand on lui demande de quoi est composé l'assortiment de Fromage elle répond aussi sec """"Bah de Fromage"""" et tourne les talons. Bref FUYEZ il y a de bien meilleur restau de viande sur Lyon (Google est votre ami et ne vous proposera pas tout de suite L'entrecôte comme enseigne)."""
La veyrie - Bernin	No Opinion	Positive	Positive	Aussi un déjeuner d'anniversaire, pour l'un de nos enfants. Toute la famille a apprécié l'originalité des plats. Le serveur nous a laissé tout le temps de finir le repas et de fêter l'évènement entre nous, sans bousculade. Il a mis la bougie pour l'occasion et a offert le digestif. Je recommende pour le cadre, le menu et l'attention du service... sans parler du baby foot traditionnel après le repas!
Brasserie Georges - Lyon	Positive	Positive	Positive	Affluence même en semaine mais le système de réservation sur place des tables via un bipeur est efficace et l'attente reste raisonnable. Ensuite, le service est super efficace malgré le monde, et bien que la cadence soit élevée, les serveurs prennent le temps de discuter et plaisanter. Le choix est vaste et la qualité est là, pour un prix qui reste correct. L'ambiance est dans son jus et vraiment typique des brasseries de la fin 19ème / début 20ème siècle. Bref, à ne pas manquer lors d'une escale lyonnaise !
Les Terrasses Poulard - Le Mont-Saint-Michel	No Opinion	Positive	Negative	Dans l'ensemble nous avons correctement mangé.   Soupe de poisson et huitres très correctes.  Merlin blanc au petits légumes très bon. Omelette au saumon correcte mais sans plus.    La plus grosse erreur est la crème brûlée. Je ne comprends pas que l'on serve une crème brûlée dans un récipient en porcelaine à fond arrondi. Comment bruler la crème dans ce type de récipient... Elle est donc arrivée très peu brûlée avec une couche non craquante sur le dessus.
Les Jardins de Sainte-Cécile - Grenoble	Positive	Positive	Positive	Nous sommes quatre amis qui connaissions déjà l'établissement et l'avons choisi pour fêter le déconfinement des restaurants. Menu très intéressant, notamment la souris d'agneau - hors pareil! -  et les desserts. Victime de son succès, il n'y a pas eu assez de souris d'agneau pour nous tous mais la responsable nous a proposé une excellente pièce de bœuf à la place sans supplément. Bonne carte de vin. Nous avions pris un St Joseph qui était très bon. Menu en QR, mais devant notre gêne, la responsable s'est empressée  de nous donner des menus papiers! Nous avons été séduits par la jeunesse et le souci de bien faire des serveurs! Bonne ambiance.
Brasserie Georges - Lyon	Negative	Negative	No Opinion	Salle du fond super bruyante on ne s’entendait pas impossible d’avoir une conversation, service trop trop long, nous n’avons pas pu prendre de dessert, et un filet de perche à 22,50€ cuit mais tellement cuit qu’il ne restait rien à manger et les tomates confites!!!!!! Elles doivent continuer à confire  je ne les ai pas vue. Quelle déception nous venons de Savoie et bien ça ne valait pas le déplacement
La Ferme à Dédé - Grenoble	Positive	Positive	Positive	Très bon restaurant très copieux et chaleureux Qualité prix imbattable Super accueil personnel très sympa
L'Entrecôte	No Opinion	Positive	Positive	Bonne adresse à découvrir soit même car les avis de chacun sur ses propres goûts reste personnel. Pour se qui reste de l’accueil Je tiens à dire merci à toutes l’équipe qui reste très professionnelle et attentionné pour chacun des clients malgré l’impolitesse de certains clients. Continuez à nous procurer du plaisir que se soit dans l’assiette ou par le service. À bientôt car je continuerai à venir temps que je serais bien reçu par vôtre équipe ! Emmanuel
Les Grands Buffets - Narbonne	Negative	No Opinion	Negative	4 eme réservation dans ce restaurant. Nous avons dû annuler notre réservation pour modifier la date. Nous nous y sommes pris 7 mois avant   Donc annulation gratuite …. Soi disant gratuite car ils ont trouvé la parade : prélever des frais de dossier pour toute annulation ( car impossible de modifier une resa chez eux ). Je me retrouve donc prélevé de 30€ pour rien ( vous êtes un resto , d’où sortez vous des frais de dossier ? Vous avez un logiciel je suppose ? ) je constate que la nouvelle politique déplaît à beaucoup de monde. Et oui en effet impossible de réserver pour un nombre impairs les week end ( pas de table pour 5 mais des tables pour 6 oui. , j ai déjà lu votre réponse la dessus et elle  n est pas logique. Vous pouvez très bien placé 5 personnes sur une table de 6 mais vous perdez un couvert mais money is money , n est ce pas ? Je ne remettrai plus les pieds ici , depuis vos tergiversations sur je pars je pars pas de Narbonne pour finalement rester , c est la chute libre.
Les Terrasses Poulard - Le Mont-Saint-Michel	Negative	Negative	Negative	"""S'il y avait un mac do sur le mont, il ferait fermer certains """"resto"""", surtout celui-là. Sérieusement, c'est infecte. C'est servi tiède et encore....peu copieux et c'est pas plus mal en fait tellement c'est indigne. Pas d'assaisonnement. En famille personne ne mange en même temps vu l'organisation déplorable...pourtant les micro-ondes ont l'air de bien tourner...trop sans doute. Du plat au dessert c'est mauvais, y'a pas de nom. Quand on hurle sur les cantines...faut être passé par là pour en parler. La mère poulard meurt une seconde fois avec les crêpes en carton servies ici...j'imagine même pas l'omelette. Et tous ces moineaux prêts à vous pondre dessus...ça c'est de l'hygiène! Et en plus ça coûte une blinde cette horreur. Allez, fuyez!"""
Le Gurtlerhoft - Strasbourg	No Opinion	No Opinion	No Opinion	Un incontournable strasbourgeois, une winstub avec du caractère, une carte pour tous les goûts, on y revient toujours avec plaisir
Les Jardins de Sainte-Cécile - Grenoble	No Opinion	Positive	Positive	Très bon accueil chaleureux, plats délicieux et élaborés. Ambiance de la salle très sympathique et calme
Une Semaine sur Deux - Grenoble	Positive	Positive	Positive	Trés bon resto par rapport au niveau qualité / prix.Assiettes bien soignés et presentées par le chef meme.Un peu victime de son success, le restaurant est trés souvent plein et un peu bruyant.Quand on y est allé, il y avait déjà une table de 20 personnes mais le proprietaire nous a servi avant. Geste trés apprecié.L'agneau est excellent !
Bistrot André - Grenoble	No Opinion	Positive	Positive	Très bon accueil par un personnel attentionné et souriant. Des plats bien présentés et délicieux dans un cadre élégant et convivial
Une Semaine sur Deux - Grenoble	No Opinion	Positive	Mixed	"""""""Alliés voilà, le Une semaine sur deux, c'était mon resto préféré ! Super cuisine de produits frais du jour, le patron Fred qui vient vous expliquer ses plats, l'origine des produits et la manière dont il les a cuisinés, Et toujours l'envie de faire et de rendre service donc même au dernier moment il savait vous préparer un truc si vous n'aimiez pas les plats du jour, ou en cas de régime particulier...J'y suis donc retournée, sans conviction, """"""""pour voir""""""""...Et bien j'ai vu. Déjà c'est ouvert tout le temps alors le nom du resto tombe un peu à plat...Et si tout ce que nous avons mangé était bon, il ne faut pas avoir envie de changer quoi que soit...Genre le poisson d'une formule avec les légumes d'une autre, pas possible... """"""""le chef a préparé exactement ses quantités pour chaque plat""""""""Dommage car si comme moi vous ne mangez pas de féculents, vous devrez vous rabattre sur le seul plat qui a des légumes et ce sera peut être pas votre préféré... tant pas !Bon ils me l'ont quand même un peu arrangé, mais c'est plus pareil...Si vous ne connaissiez pas avant, vous trouverez que c'est une bonne adresse, mais si vous faites la comparaison...C'est plus """"""""le une semaine sur deux"""""""" c'est autre chose."""""""
Le Bombay	No Opinion	Positive	Positive	Cuisine excellente, service rapide et agréable. Le cadre est sympa, la terrasse est un plus à la belle saison
Brasserie Chavant Grenoble	Positive	Positive	Positive	Plusieurs repas dans cette brasserie et nous sommes jamais déçus. Le cadre chic , très lumineux, musique juste comme il faut. L’accueil classe avec un personnel en tenue extrêmement courtois et toujours à l’écoute. La carte des vins bien que limitée est de grande qualité  avec des choix judicieux, et les conseils avisés du maître d’hôtel . Quand aux plats que dire si ce n’est parfait tant dans présentation que dans la qualité, il est difficile de faire son choix.  Un très bon rapport qualité prix . Bref une institution à Grenoble mais pour moi la meilleure des brasseries.
La Ferme à Dédé - Grenoble	No Opinion	Positive	No Opinion	Restaurant fidèle à sa carte et son ambiance. Je recommande sans problème. Les ravioles à la morille sont excellentes.
L'Entrecôte	No Opinion	Positive	Positive	Cela plusieurs fois que l’on vient y manger, toujours parfait, service impeccable, plats très bon, le personnel est très sympathique, attentionné, une très bonne équipe, on ne se lasse pas d’y retourner !!
Les Terrasses de Lyon - Lyon	No Opinion	Positive	Positive	Restaurant de charme sur les hauteurs de Lyon.La salle et la terrasse offrent une vue splendide sur la ville. La cuisine est classique mais très fine,le mélange homard et agrumes ,raffiné et exquis.Les entrées sont excellentes.Le menu végétarien est exceptionnel au dire des intéressés.Le service est présent sans être obséquieux.Beau choix de champagne au verre et belle carte des vins avec un certain laissé aller sur les prix.Très belle adresse.
Brasserie Georges - Lyon	No Opinion	Positive	Mixed	Très bien comme toujours Plats très bons et un serveur vraiment gentil Dommage qu'un autre serveur ait mal pris le fait que je lui ai dit que nous devions partir avant de prendre les desserts du menu. Il n'y avait aucun reproche et je lui ai dit poliment, mais il s'est senti agressé à tort et pour le coup c'est lui qui s'est montré franchement désagréable.
Shunbun - Grenoble	Positive	Positive	No Opinion	Délicieux restaurant à sushis. Beaucoup de diversité, des sushis qu'on n'a pas l'habitude de voir, le tout très bien réalisé. Les tarifs sont vraiment corrects. Seul bémol : les tables sont un peu trop proches les unes des autres. Sinon, tout est parfait.
L'Entrecôte	No Opinion	Positive	Positive	Toujours aussi bon,avec un très bon service et avec une équipe souriante et à l'écoute pour un entrecôte suculente
Bistrot André - Grenoble	No Opinion	Positive	Positive	une découverte et un moment sublime passé hier midi ... tout est dans le raffinement et le plaisir de voir,  sentir et déguster chaque plat ( menu à 49 euros). L'équipe est très attentive et attentionnée. Un pur bonheur. Bravo à toute l'équipe.
Les Terrasses de Lyon - Lyon	Positive	Positive	Positive	On a testé le menu gastronomique, 2 entrées 2 plats 1 dessert et plein de petits trucs en + pour 115€/pers, tout était excellent du debut a la fin, le cadre magnifique (j'avais réservé à l'avance pour avoir une des tables les plus proches de la verrière avec la jolie vue sur Lyon la nuit), le service pas guindé du tout, tous les serveurs sont hyper souriants et c'est super agréable..!! J'ai testé également pour la première fois un accord mets et thé, c'était top..!!
La Fondue - Grenoble	Negative	Negative	Negative	Nous ne risquons pas d’oublier ce restaurant qui est certainement l’un des pires que je n’ai jamais fait ! La raclette n’est absolument pas traditionnelle mais servie avec un appareil électrique et des catelons hors d’âge. A 25€ Par personne, on peut s’attendre à mieux. La qualité des aliments n’est absolument pas au rendez-vous : viande des grisons marron, pommes de terre pourries et verreuse ! Je me suis retenue de vomir pendant tout le repas. L’ambiance était très bizarre avec les gérants qui s’engueulaient à travers la salle. Serveur agressif quand il est venu demander s’il y avait un problème. Nous sommes partis sans demander notre reste et sommes allés prendre un dessert ailleurs. Évitez cet établissement !
Le Bombay	No Opinion	No Opinion	Negative	Mals accuillis, après avoir reservé, aucune table n'était disponible, mauvaise ambiance au niveau de l'humidité, de l'odeur, du bruit, des serveurs.
La Belle Idée - Grenoble	Positive	Positive	Positive	A chaque fois que nous allons à la bonne idée, nous sommes bien reçus avec une carte qui ne bouge pas assez à notre gré, mais toujours de la qualité, et de la convivialité. Une cuisine sauvoureuse, des portions généreuses, un service agréable  et un très bon rapport qualité prix. Nous recommandons sans réserves.
Les Jardins de Sainte-Cécile - Grenoble	Negative	No Opinion	No Opinion	déco au top après le restaurant se veut gastronomique et pratique des prix limite exorbitants non justifiés
"""""""Chateau de la commanderie - Grenoble"""""""	No Opinion	Mixed	Negative	"""""""cadre très joli, raffiné, mais accueil moyen, nous avons été accueillis dans le hall de l'hôtel, on nous demande de monter au premier étage où se trouve le restaurant et là avons du attendre un petit moment qui nous a paru trop long avant que quelqu'un vienne nous accueillir. Au niveau du repas, un peu décevant pour un restaurant gastro. Trop moderne, recettes trop revisitées à notre goût, exemple : une émulsion de gratin dauphinois, plus rien à voir avec un bon gratin mais ressemble plus à une purée très très liquide sans goût. Cromesquis de tête de veau... plus rien à voir avec une bonne tête de veau. Quant au poisson dans la formule du midi : lieu noir...peut mieux faire ! heureusement le dessert au chocolat était excellent !"""""""
Les Jardins de Sainte-Cécile - Grenoble	Negative	No Opinion	No Opinion	A la carte, de grands noms pour pas grand chose. Nous étions 5, tous déçus. Très cher , il faut dire qu'il y avait plus de personnel que de clients
Le Gratin Dauphinois - Grenoble	Positive	No Opinion	Positive	Dans un cadre assez froid, la carte permet de gouter divers gratins de ravioles et salades. Les portions sont énormes, attention ! Mention spéciale pour le service : efficaces, sympathiques et très professionnels, les serveurs connaissent bien les produits.
Les Jardins de Sainte-Cécile - Grenoble	Negative	Positive	Positive	"""Le cadre est un ancien couvent et la salle de restaurant est de style moderne : un peu étonnant dans un tel lieu. Je m'attendais à un décor plus classique, mais finalement ce n'était pas déplaisant. Peu de monde, en un soir de semaine d'où peu de bruit de conversations et rapidité du service. Le plafond très haut laisse présager une salle sonore. Proposition d'un vestiaire dès l'arrivée, par un serveur. Service correct. Personnel sympathique et courtois. Musique d'ambiance agréable. Cuisine raffinée. Mélange de saveurs aigres douces succulentes. Les mets sont servis dans de très grandes assiettes, ce qui donne l'impression que les portions sont petites. La décoration est recherchée mais l'assiette étant très grande, le résultat est un peu décevant. C'est dommage ! Nous avons bénéficié d'un coupon """"Groupon"""", ce qui a mis l'addition à une somme raisonnable, correspondant aux prestations reçues. Par contre, le changement de cartes et de menus ne nous a pas permis de déguster ce qui nous avait été proposé lors de l'achat du coupon. Nous avons regretté. Je ne pense pas retourner dans cet établissement car le rapport """"qualité/prix"""" est trop élevé. Toilettes accessibles par un escalier aux marches un peu """"rudes"""", impraticable pour les personnes à mobilité réduite."""
